wave,temp,time,intensity
831.2586,25,0,93.0885
833.1873,25,0,93.2398
835.116,25,0,93.3436
837.0447,25,0,93.3971
838.9733,25,0,93.4173
840.902,25,0,93.442
842.8307,25,0,93.4841
844.7594,25,0,93.467
846.688,25,0,93.4084
848.6167,25,0,93.333
850.5454,25,0,93.29
852.4741,25,0,93.2754
854.4027,25,0,93.2261
856.3314,25,0,93.2012
858.2601,25,0,93.1938
860.1888,25,0,93.1507
862.1174,25,0,93.1214
864.0461,25,0,93.13
865.9748,25,0,93.1591
867.9035,25,0,93.1932
869.8321,25,0,93.229
871.7608,25,0,93.2927
873.6895,25,0,93.3616
875.6182,25,0,93.4208
877.5468,25,0,93.4864
879.4755,25,0,93.5582
881.4042,25,0,93.6553
883.3328,25,0,93.7623
885.2615,25,0,93.8369
887.1902,25,0,93.8853
889.1189,25,0,93.9483
891.0475,25,0,94.0309
892.9762,25,0,94.1355
894.9049,25,0,94.2809
896.8336,25,0,94.4042
898.7622,25,0,94.4677
900.6909,25,0,94.5212
902.6196,25,0,94.6033
904.5483,25,0,94.6784
906.4769,25,0,94.6849
908.4056,25,0,94.6931
910.3343,25,0,94.7475
912.263,25,0,94.7697
914.1916,25,0,94.7553
916.1203,25,0,94.7236
918.049,25,0,94.6886
919.9777,25,0,94.7103
921.9063,25,0,94.7255
923.835,25,0,94.6735
925.7637,25,0,94.6694
927.6924,25,0,94.7124
929.621,25,0,94.6764
931.5497,25,0,94.6063
933.4784,25,0,94.5734
935.4071,25,0,94.5629
937.3357,25,0,94.5757
939.2644,25,0,94.5723
941.1931,25,0,94.5507
943.1218,25,0,94.5533
945.0504,25,0,94.5455
946.9791,25,0,94.5294
948.9078,25,0,94.5193
950.8364,25,0,94.4978
952.7651,25,0,94.4886
954.6938,25,0,94.4699
956.6225,25,0,94.4539
958.5511,25,0,94.4956
960.4798,25,0,94.5365
962.4085,25,0,94.5058
964.3372,25,0,94.4567
966.2658,25,0,94.4587
968.1945,25,0,94.4754
970.1232,25,0,94.4757
972.0519,25,0,94.4696
973.9805,25,0,94.4591
975.9092,25,0,94.4626
977.8379,25,0,94.5008
979.7666,25,0,94.5545
981.6952,25,0,94.5698
983.6239,25,0,94.5614
985.5526,25,0,94.5516
987.4813,25,0,94.5348
989.4099,25,0,94.5594
991.3386,25,0,94.5993
993.2673,25,0,94.567
995.196,25,0,94.4869
997.1246,25,0,94.4382
999.0533,25,0,94.4135
1000.982,25,0,94.4086
1002.9107,25,0,94.4378
1004.8393,25,0,94.4426
1006.768,25,0,94.4113
1008.6967,25,0,94.3793
1010.6254,25,0,94.3456
1012.554,25,0,94.3202
1014.4827,25,0,94.3343
1016.4114,25,0,94.3629
1018.3401,25,0,94.3513
1020.2687,25,0,94.31
1022.1974,25,0,94.2859
1024.1261,25,0,94.2635
1026.0547,25,0,94.209
1027.9834,25,0,94.1662
1029.9121,25,0,94.1398
1031.8408,25,0,94.0982
1033.7694,25,0,94.1008
1035.6981,25,0,94.1609
1037.6268,25,0,94.2304
1039.5555,25,0,94.3166
1041.4841,25,0,94.4038
1043.4128,25,0,94.4449
1045.3415,25,0,94.4542
1047.2702,25,0,94.4543
1049.1988,25,0,94.4488
1051.1275,25,0,94.4548
1053.0562,25,0,94.4354
1054.9849,25,0,94.3976
1056.9135,25,0,94.3943
1058.8422,25,0,94.4114
1060.7709,25,0,94.4094
1062.6996,25,0,94.3974
1064.6282,25,0,94.4111
1066.5569,25,0,94.4439
1068.4856,25,0,94.4703
1070.4143,25,0,94.4684
1072.3429,25,0,94.4692
1074.2716,25,0,94.4737
1076.2003,25,0,94.4616
1078.129,25,0,94.4669
1080.0576,25,0,94.4872
1081.9863,25,0,94.4883
1083.915,25,0,94.4664
1085.8437,25,0,94.4726
1087.7723,25,0,94.4927
1089.701,25,0,94.4866
1091.6297,25,0,94.4815
1093.5584,25,0,94.492
1095.487,25,0,94.5032
1097.4157,25,0,94.4783
1099.3444,25,0,94.4461
1101.273,25,0,94.468
1103.2017,25,0,94.4901
1105.1304,25,0,94.4539
1107.0591,25,0,94.4305
1108.9877,25,0,94.4486
1110.9164,25,0,94.4348
1112.8451,25,0,94.4026
1114.7738,25,0,94.4043
1116.7024,25,0,94.4112
1118.6311,25,0,94.4041
1120.5598,25,0,94.3997
1122.4885,25,0,94.3757
1124.4171,25,0,94.3268
1126.3458,25,0,94.3146
1128.2745,25,0,94.3161
1130.2032,25,0,94.2721
1132.1318,25,0,94.2417
1134.0605,25,0,94.2375
1135.9892,25,0,94.219
1137.9179,25,0,94.2083
1139.8465,25,0,94.2049
1141.7752,25,0,94.1862
1143.7039,25,0,94.1511
1145.6326,25,0,94.0903
1147.5612,25,0,94.0068
1149.4899,25,0,93.9371
1151.4186,25,0,93.8987
1153.3473,25,0,93.8806
1155.2759,25,0,93.8641
1157.2046,25,0,93.8452
1159.1333,25,0,93.8339
1161.062,25,0,93.8144
1162.9906,25,0,93.7982
1164.9193,25,0,93.8024
1166.848,25,0,93.7917
1168.7767,25,0,93.7811
1170.7053,25,0,93.8199
1172.634,25,0,93.8889
1174.5627,25,0,93.9247
1176.4913,25,0,93.9113
1178.42,25,0,93.8946
1180.3487,25,0,93.8853
1182.2774,25,0,93.8577
1184.206,25,0,93.8395
1186.1347,25,0,93.8588
1188.0634,25,0,93.8672
1189.9921,25,0,93.8559
1191.9207,25,0,93.8708
1193.8494,25,0,93.8924
1195.7781,25,0,93.8883
1197.7068,25,0,93.8791
1199.6354,25,0,93.8782
1201.5641,25,0,93.8656
1203.4928,25,0,93.8492
1205.4215,25,0,93.8399
1207.3501,25,0,93.8354
1209.2788,25,0,93.8554
1211.2075,25,0,93.8869
1213.1362,25,0,93.9099
1215.0648,25,0,93.9459
1216.9935,25,0,93.9785
1218.9222,25,0,93.9571
1220.8509,25,0,93.9059
1222.7795,25,0,93.8706
1224.7082,25,0,93.8602
1226.6369,25,0,93.8637
1228.5656,25,0,93.8509
1230.4942,25,0,93.8285
1232.4229,25,0,93.8115
1234.3516,25,0,93.7904
1236.2803,25,0,93.7784
1238.2089,25,0,93.7841
1240.1376,25,0,93.776
1242.0663,25,0,93.7412
1243.9949,25,0,93.7178
1245.9236,25,0,93.7235
1247.8523,25,0,93.7298
1249.781,25,0,93.7245
1251.7096,25,0,93.7018
1253.6383,25,0,93.6721
1255.567,25,0,93.6667
1257.4957,25,0,93.6576
1259.4243,25,0,93.6271
1261.353,25,0,93.6257
1263.2817,25,0,93.6421
